,product,price,quantity,sales,date,region
0,pink morsel,$3.00,546,1638,2018-02-06,north
1,pink morsel,$3.00,549,1647,2018-02-06,south
2,pink morsel,$3.00,577,1731,2018-02-06,east
3,pink morsel,$3.00,519,1557,2018-02-06,west
4,pink morsel,$3.00,529,1587,2018-02-07,north
5,pink morsel,$3.00,566,1698,2018-02-07,south
6,pink morsel,$3.00,514,1542,2018-02-07,east
7,pink morsel,$3.00,545,1635,2018-02-07,west
8,pink morsel,$3.00,534,1602,2018-02-08,north
9,pink morsel,$3.00,512,1536,2018-02-08,south
10,pink morsel,$3.00,501,1503,2018-02-08,east
11,pink morsel,$3.00,567,1701,2018-02-08,west
12,pink morsel,$3.00,586,1758,2018-02-09,north
13,pink morsel,$3.00,554,1662,2018-02-09,south
14,pink morsel,$3.00,594,1782,2018-02-09,east
15,pink morsel,$3.00,505,1515,2018-02-09,west
16,pink morsel,$3.00,554,1662,2018-02-10,north
17,pink morsel,$3.00,519,1557,2018-02-10,south
18,pink morsel,$3.00,550,1650,2018-02-10,east
19,pink morsel,$3.00,558,1674,2018-02-10,west
20,pink morsel,$3.00,518,1554,2018-02-11,north
21,pink morsel,$3.00,529,1587,2018-02-11,south
22,pink morsel,$3.00,521,1563,2018-02-11,east
23,pink morsel,$3.00,588,1764,2018-02-11,west
24,pink morsel,$3.00,586,1758,2018-02-12,north
25,pink morsel,$3.00,536,1608,2018-02-12,south
26,pink morsel,$3.00,523,1569,2018-02-12,east
27,pink morsel,$3.00,551,1653,2018-02-12,west
28,pink morsel,$3.00,524,1572,2018-02-13,north
29,pink morsel,$3.00,572,1716,2018-02-13,south
30,pink morsel,$3.00,591,1773,2018-02-13,east
31,pink morsel,$3.00,575,1725,2018-02-13,west
32,pink morsel,$3.00,589,1767,2018-02-14,north
33,pink morsel,$3.00,570,1710,2018-02-14,south
34,pink morsel,$3.00,566,1698,2018-02-14,east
35,pink morsel,$3.00,504,1512,2018-02-14,west
36,pink morsel,$3.00,582,1746,2018-02-15,north
37,pink morsel,$3.00,578,1734,2018-02-15,south
38,pink morsel,$3.00,508,1524,2018-02-15,east
39,pink morsel,$3.00,538,1614,2018-02-15,west
40,pink morsel,$3.00,526,1578,2018-02-16,north
41,pink morsel,$3.00,594,1782,2018-02-16,south
42,pink morsel,$3.00,509,1527,2018-02-16,east
43,pink morsel,$3.00,584,1752,2018-02-16,west
44,pink morsel,$3.00,595,1785,2018-02-17,north
45,pink morsel,$3.00,563,1689,2018-02-17,south
46,pink morsel,$3.00,547,1641,2018-02-17,east
47,pink morsel,$3.00,525,1575,2018-02-17,west
48,pink morsel,$3.00,548,1644,2018-02-18,north
49,pink morsel,$3.00,558,1674,2018-02-18,south
50,pink morsel,$3.00,517,1551,2018-02-18,east
51,pink morsel,$3.00,579,1737,2018-02-18,west
52,pink morsel,$3.00,521,1563,2018-02-19,north
53,pink morsel,$3.00,549,1647,2018-02-19,south
54,pink morsel,$3.00,535,1605,2018-02-19,east
55,pink morsel,$3.00,513,1539,2018-02-19,west
56,pink morsel,$3.00,566,1698,2018-02-20,north
57,pink morsel,$3.00,525,1575,2018-02-20,south
58,pink morsel,$3.00,500,1500,2018-02-20,east
59,pink morsel,$3.00,517,1551,2018-02-20,west
60,pink morsel,$3.00,579,1737,2018-02-21,north
61,pink morsel,$3.00,514,1542,2018-02-21,south
62,pink morsel,$3.00,555,1665,2018-02-21,east
63,pink morsel,$3.00,516,1548,2018-02-21,west
64,pink morsel,$3.00,545,1635,2018-02-22,north
65,pink morsel,$3.00,544,1632,2018-02-22,south
66,pink morsel,$3.00,556,1668,2018-02-22,east
67,pink morsel,$3.00,588,1764,2018-02-22,west
68,pink morsel,$3.00,511,1533,2018-02-23,north
69,pink morsel,$3.00,521,1563,2018-02-23,south
70,pink morsel,$3.00,547,1641,2018-02-23,east
71,pink morsel,$3.00,591,1773,2018-02-23,west
72,pink morsel,$3.00,543,1629,2018-02-24,north
73,pink morsel,$3.00,566,1698,2018-02-24,south
74,pink morsel,$3.00,575,1725,2018-02-24,east
75,pink morsel,$3.00,574,1722,2018-02-24,west
76,pink morsel,$3.00,532,1596,2018-02-25,north
77,pink morsel,$3.00,570,1710,2018-02-25,south
78,pink morsel,$3.00,545,1635,2018-02-25,east
79,pink morsel,$3.00,553,1659,2018-02-25,west
80,pink morsel,$3.00,562,1686,2018-02-26,north
81,pink morsel,$3.00,511,1533,2018-02-26,south
82,pink morsel,$3.00,508,1524,2018-02-26,east
83,pink morsel,$3.00,510,1530,2018-02-26,west
84,pink morsel,$3.00,555,1665,2018-02-27,north
85,pink morsel,$3.00,565,1695,2018-02-27,south
86,pink morsel,$3.00,526,1578,2018-02-27,east
87,pink morsel,$3.00,540,1620,2018-02-27,west
88,pink morsel,$3.00,589,1767,2018-02-28,north
89,pink morsel,$3.00,531,1593,2018-02-28,south
90,pink morsel,$3.00,581,1743,2018-02-28,east
91,pink morsel,$3.00,519,1557,2018-02-28,west
92,pink morsel,$3.00,556,1668,2018-03-01,north
93,pink morsel,$3.00,594,1782,2018-03-01,south
94,pink morsel,$3.00,509,1527,2018-03-01,east
95,pink morsel,$3.00,556,1668,2018-03-01,west
96,pink morsel,$3.00,545,1635,2018-03-02,north
97,pink morsel,$3.00,523,1569,2018-03-02,south
98,pink morsel,$3.00,582,1746,2018-03-02,east
99,pink morsel,$3.00,591,1773,2018-03-02,west
100,pink morsel,$3.00,513,1539,2018-03-03,north
101,pink morsel,$3.00,500,1500,2018-03-03,south
102,pink morsel,$3.00,523,1569,2018-03-03,east
103,pink morsel,$3.00,519,1557,2018-03-03,west
104,pink morsel,$3.00,591,1773,2018-03-04,north
105,pink morsel,$3.00,548,1644,2018-03-04,south
106,pink morsel,$3.00,538,1614,2018-03-04,east
107,pink morsel,$3.00,558,1674,2018-03-04,west
108,pink morsel,$3.00,511,1533,2018-03-05,north
109,pink morsel,$3.00,551,1653,2018-03-05,south
110,pink morsel,$3.00,519,1557,2018-03-05,east
111,pink morsel,$3.00,582,1746,2018-03-05,west
112,pink morsel,$3.00,573,1719,2018-03-06,north
113,pink morsel,$3.00,573,1719,2018-03-06,south
114,pink morsel,$3.00,553,1659,2018-03-06,east
115,pink morsel,$3.00,600,1800,2018-03-06,west
116,pink morsel,$3.00,527,1581,2018-03-07,north
117,pink morsel,$3.00,534,1602,2018-03-07,south
118,pink morsel,$3.00,536,1608,2018-03-07,east
119,pink morsel,$3.00,550,1650,2018-03-07,west
120,pink morsel,$3.00,537,1611,2018-03-08,north
121,pink morsel,$3.00,510,1530,2018-03-08,south
122,pink morsel,$3.00,566,1698,2018-03-08,east
123,pink morsel,$3.00,556,1668,2018-03-08,west
124,pink morsel,$3.00,582,1746,2018-03-09,north
125,pink morsel,$3.00,508,1524,2018-03-09,south
126,pink morsel,$3.00,502,1506,2018-03-09,east
127,pink morsel,$3.00,568,1704,2018-03-09,west
128,pink morsel,$3.00,596,1788,2018-03-10,north
129,pink morsel,$3.00,573,1719,2018-03-10,south
130,pink morsel,$3.00,582,1746,2018-03-10,east
131,pink morsel,$3.00,528,1584,2018-03-10,west
132,pink morsel,$3.00,564,1692,2018-03-11,north
133,pink morsel,$3.00,545,1635,2018-03-11,south
134,pink morsel,$3.00,536,1608,2018-03-11,east
